,Image Names,Number of Cracks,Type D00,Type D01,Type D10,Type D11,Type D20,Type D40,Type D43,Type D44,Average Detection Score,Maximum Detection Score,Minimum Detection Score,Average Crack Region Percentage,Maximum Crack Region Percentage,Minimum Crack Region Percentage,Average Size of Cracks,Maximum Size of Cracks,Minimum Size of Cracks
139,_-wL-ZZZHqI73Gm1bPXesg,,,,,,,,,,,,,,,,,,
140,_2SIttOH30b6JWIpijnkJA,,,,,,,,,,,,,,,,,,
141,_cZ7XaFuaTIt3XCydLVNEQ,1,,,,,,,,1,0.63,0.63,0.63,0.1235,0.1235,0.1235,,,
142,_E4_XMOdA6K79Ic2btucwA,2,,,,,,,,2,0.3466666666666667,0.35,0.34,0.23801875000000003,0.29255625,0.12894375,,,
143,_eOZdxer_Qk1uS412Nzv1A,,,,,,,,,,,,,,,,,,
144,_45kvRwDmN0vXCqi8UGnjA,,,,,,,,,,,,,,,,,,
145,_-PdS2Qmi9ED-ocUKwEPcw,1,,,,,,,,1,0.36,0.36,0.36,0.130975,0.130975,0.130975,,,
146,__6vrdN9MPIr35-Nt66y_w,1,,,,,,,,1,0.87,0.87,0.87,0.3066375,0.3066375,0.3066375,,,
147,_aHdnJ1W1Lwi73wgIkAsNw,,,,,,,,,,,,,,,,,,
148,_dk1YaTslaF8k5CaILBuhA,2,,,,,,,,2,0.71,0.88,0.37,0.15745,0.2227,0.02695,,,
149,_EKxk-E_HgMOhbdzJQzHNQ,,,,,,,,,,,,,,,,,,
150,_3Mo35VdpuD9I19CQvHtrQ,1,,,,,,,,1,0.43,0.43,0.43,0.2904,0.2904,0.2904,,,
151,23,1,,,,,,,,1,0.83,0.83,0.83,0.12339732142857143,0.12339732142857143,0.12339732142857143,,,
152,37,,,,,,,,,,,,,,,,,,
153,33,1,,,,,,,,1,0.8,0.8,0.8,0.106875,0.106875,0.106875,,,
154,27,,,,,,,,,,,,,,,,,,
155,_EK2YOmlOXG9U1BN8JJQcg,1,,,,,,,,1,0.92,0.92,0.92,0.09675,0.09675,0.09675,,,
156,_5pR1nDFJmRxfeIalKHV2Q,1,,1,,,,,,,0.68,0.68,0.68,0.03371875,0.03371875,0.03371875,,,
157,_-gwnHbQYCE-06rnWPhTPA,1,,,,,,,,1,0.38,0.38,0.38,0.271840625,0.271840625,0.271840625,,,
158,_CqURe6dl2HlDyoGARxQ9Q,,,,,,,,,,,,,,,,,,
159,_05EVXKvzxh5cZKNkBt19Q,1,,,,,,,,1,0.69,0.69,0.69,0.18025,0.18025,0.18025,,,
160,_6Z9NAMFyh3_e9QsmAO5Xg,1,,,,,,,,1,0.61,0.61,0.61,0.30403125,0.30403125,0.30403125,,,
161,_cd5RxPDJZ8AOijRbiz7mw,1,,,,,,,,1,0.66,0.66,0.66,0.1539875,0.1539875,0.1539875,,,
162,_C161kjGBQHs-f3AUufpmQ,2,,,,,,,,2,0.4066666666666667,0.46,0.3,0.20290520833333334,0.253359375,0.101996875,,,
163,_7ubJZKcjvLmbuw0qhFUVA,,,,,,,,,,,,,,,,,,
164,_emwbOhigw6RkfxlbCt61A,1,,,,,,,,1,0.79,0.79,0.79,0.38929375,0.38929375,0.38929375,,,
165,_4dSaV9qwO-l1w3JUHIjqA,3,,1,,,,,,2,0.465,0.53,0.34,0.14773124999999998,0.27435,0.03675,,,
166,_DcdHVwXtNkuKMSWKnmJIw,3,,,,,,,,3,0.58,0.72,0.33,0.1562375,0.28784375,0.0344,,,
167,_8gyb9RmsHQl2z3zc1DIig,1,,,,,,,,1,0.7,0.7,0.7,0.164109375,0.164109375,0.164109375,,,
168,_4nnz2sMMb1gfv337ASDKA,2,,,,,,,,2,0.41333333333333333,0.45,0.34,0.13332291666666665,0.138403125,0.1231625,,,
169,26,,,,,,,,,,,,,,,,,,
170,32,1,,,,,,,,1,0.37,0.37,0.37,0.16104910714285714,0.16104910714285714,0.16104910714285714,,,
171,_ElGpBNXhkAjSSCQEmTlGg,1,,,,,,,,1,0.63,0.63,0.63,0.18415,0.18415,0.18415,,,
172,_8Z4c86zwKDqR9Wy9F52_A,1,,,,,,,,1,0.82,0.82,0.82,0.22549375,0.22549375,0.22549375,,,
173,18,1,,,,,,,,1,0.91,0.91,0.91,0.15725,0.15725,0.15725,,,
174,24,1,,,,,,,,1,0.79,0.79,0.79,0.10746428571428572,0.10746428571428572,0.10746428571428572,,,
175,30,,,,,,,,,,,,,,,,,,
176,_EF2v9bw6YBXAhJoLUILXA,,,,,,,,,,,,,,,,,,
177,_1N81HjSKspFEn3Fva92MA,1,,,,,,,,1,0.8,0.8,0.8,0.25463125,0.25463125,0.25463125,,,
178,_6SV9Aj1l6IhiDn_7hV0Jg,,,,,,,,,,,,,,,,,,
179,_-mhu94vxiovdRAeurxvmA,1,,,,,,,,1,0.48,0.48,0.48,0.247671875,0.247671875,0.247671875,,,
180,_BdrNq6jiNS64Ppc1Eb4ZA,1,,,,,,,1,,0.57,0.57,0.57,0.215840625,0.215840625,0.215840625,,,
181,_8vlKGjFOzO0eoOHHUvVXQ,,,,,,,,,,,,,,,,,,
182,_26G2ImQ6b92wY3DSJjTag,1,,,,,,,,1,0.92,0.92,0.92,0.1275,0.1275,0.1275,,,
183,_CJg-NERpHdGPn3r6zGTYQ,1,,,,,,,,1,0.7,0.7,0.7,0.1669875,0.1669875,0.1669875,,,
184,_Bg2izP3EkBH_oGxSk7-Zg,,,,,,,,,,,,,,,,,,
185,_9oqXFbgc4QnRY3Sdou3Sg,1,,,,,,,,1,0.58,0.58,0.58,0.031246875,0.031246875,0.031246875,,,
186,_bOXO9jAL1MreuIbBE36sA,1,,,,,,,,1,0.33,0.33,0.33,0.105834375,0.105834375,0.105834375,,,
187,_CS_O4Cl_9XsB_zTXd5DzQ,2,,,,,,,,2,0.43,0.49,0.31,0.1669802083333333,0.237353125,0.13179375,,,
188,_3NUwGv6DAP6Qp1QuXtfmw,,,,,,,,,,,,,,,,,,
189,_8TP8Wnucfa8B82IfbXxdQ,1,,,,,,,,1,0.32,0.32,0.32,0.02655,0.02655,0.02655,,,
190,31,1,,,,,,,,1,0.68,0.68,0.68,0.280875,0.280875,0.280875,,,
191,25,,,,,,,,,,,,,,,,,,
192,19,,,,,,,,,,,,,,,,,,
193,42,,,,,,,,,,,,,,,,,,
